Timestamp,Value
2017-10-29 20:40:00,1
2017-11-17 21:36:00,2
2017-11-26 11:48:00,1
2017-12-01 18:24:00,-1
2017-12-05 12:18:00,1
2017-12-10 06:12:00,-1
2017-12-11 23:12:00,1
2018-02-02 13:28:00,3
2018-02-03 04:56:00,2
2018-02-13 10:40:00,3
2018-02-22 16:24:00,4
2018-03-08 05:56:00,2
2018-03-12 01:34:00,1
2018-04-06 19:06:00,2
2018-04-07 10:08:00,3
2018-04-17 12:44:00,4
2018-04-20 07:56:00,3
2018-04-21 03:58:00,1
2018-05-13 05:38:00,3
2018-05-17 04:04:00,2
2018-05-20 04:36:00,3
2018-05-20 20:56:00,2
2018-05-20 22:52:00,3
2018-05-23 14:26:00,4
2018-06-03 05:28:00,3
2018-06-04 19:04:00,2
2018-06-05 03:44:00,4
2018-06-06 21:04:00,5
2018-06-06 23:44:00,4
2018-06-07 00:48:00,5
2018-06-07 14:36:00,6
2018-06-07 18:08:00,5
2018-06-10 14:16:00,4
2018-06-10 17:20:00,3
2018-06-10 23:46:00,2
2018-06-11 06:02:00,3
2018-06-11 08:48:00,2
2018-06-11 13:20:00,1
2018-06-16 13:56:00,2
2018-06-17 06:06:00,1
2018-06-19 05:20:00,-1
2018-06-19 16:42:00,1
2018-06-29 21:08:00,-1
2018-06-29 22:08:00,1
2018-07-01 06:12:00,-1
2018-07-02 16:34:00,1
2018-08-15 05:52:00,2
2018-08-22 19:04:00,1
2018-08-23 22:40:00,2
2018-08-25 23:34:00,1
2018-08-26 02:04:00,2
2018-09-23 07:16:00,3
2018-09-30 01:56:00,4
2018-10-03 08:08:00,3
2018-10-04 22:20:00,4
2018-10-08 15:36:00,5
2018-10-12 01:44:00,4
2018-10-12 12:18:00,5
2018-10-13 14:42:00,4
2018-10-18 08:14:00,5
2018-10-18 11:26:00,4
2018-10-19 03:58:00,5
2018-10-19 18:44:00,4
2018-10-20 06:42:00,5
2018-10-22 02:02:00,4
2018-10-22 08:16:00,5
2018-10-22 11:44:00,4
2018-10-22 23:20:00,5
2018-10-23 02:20:00,4
2018-10-24 23:08:00,5
2018-10-25 08:18:00,4
2018-10-25 13:50:00,5
2018-10-25 22:08:00,4
2018-10-26 05:24:00,6
2018-10-26 08:20:00,4
2018-10-26 20:54:00,6
2018-10-27 02:00:00,4
2018-10-28 06:00:00,5
2018-10-28 08:18:00,7
2018-10-28 16:32:00,5
2018-10-28 22:40:00,7
2018-10-29 04:04:00,5
2018-10-29 05:28:00,7
2018-10-29 07:28:00,5
2018-10-29 09:08:00,7
2018-10-29 14:44:00,5
2018-10-29 15:32:00,7
2018-10-29 16:20:00,5
2018-10-29 18:00:00,7
2018-10-29 19:42:00,5
2018-10-29 22:36:00,7
2018-10-30 06:34:00,6
2018-10-30 14:00:00,8
2018-10-30 15:46:00,5
2018-10-30 16:40:00,7
2018-10-30 17:32:00,5
2018-10-31 03:40:00,7
2018-10-31 08:22:00,8
2018-10-31 11:32:00,6
2018-10-31 19:32:00,8
2018-10-31 23:12:00,6
2018-11-01 01:22:00,8
2018-11-01 10:48:00,6
2018-11-01 11:36:00,8
2018-11-01 12:28:00,6
2018-11-01 18:24:00,7
